metro	geo
Abilene	32.9263633,-99.7836628
Akron	41.0638893,-81.4856989
Albany	31.5785074,-84.155741
Albany	44.6335621,-123.1020801
Albany-Schenectady-Troy	42.6502031,-73.7779845
Albuquerque	35.0853336,-106.6055534
Alexandria	31.3112936,-92.4451371
Allentown-Bethlehem-Easton	40.7093369,-75.2065773
Altoona	40.504032,-78.406764
Amarillo	35.2097455,-101.8366747
Ames	42.0193432,-93.462393
Anchorage	61.2180556,-149.9002778
Ann-Arbor	42.2808256,-83.7430378
Anniston-Oxford-Jacksonville	33.816231,-85.7548299
Appleton	44.255014,-88.438024
Asheville	35.563463,-82.518682
Athens-Clarke-County	33.9624701,-83.367705
Atlanta-Sandy-Springs-Roswell	33.9396782,-84.3772958
Atlantic-City-Hammonton	39.701021,-74.8901732
Auburn-Opelika	32.6523118,-85.3755813
Augusta-Richmond-County	33.4713063,-81.950799
Austin-Round-Rock	30.5104204,-97.6794855
Bakersfield	35.3685177,-119.0030184
Baltimore-Columbia-Towson	39.257179,-76.7318533
Bangor	44.8011821,-68.7778138
Barnstable-Town	41.7070509,-70.2964209
Baton-Rouge	30.4504036,-91.1871141
Battle-Creek	42.3128245,-85.1425426
Bay-City	43.5944677,-83.8888647
Beaumont-Port-Arthur	30.0782484,-94.1199832
Beckley	37.773757,-81.1915439
Bellingham	48.7425264,-122.4623723
Bend-Redmond	44.2765685,-121.173246
Billings	45.7701745,-108.5278692
Binghamton	42.0986867,-75.9179738
Birmingham-Hoover	32.7075816,-86.4877423
Bismarck	46.8054125,-100.7831022
Blacksburg-Christiansburg-Radford	37.127,-80.4131
Bloomington	40.4842027,-88.9936873
Bloomington	39.165325,-86.5263857
Bloomsburg-Berwick	41.0043954,-76.4574245
Boise-City	43.6144166,-116.2011147
Boston-Cambridge-Newton	42.3752152,-71.0548525
Boulder	40.1692244,-105.0935246
Bowling-Green	36.7497889,-86.1951163
Bremerton-Silverdale	47.5637637,-122.6586657
Bridgeport-Stamford-Norwalk	41.1849461,-73.0920375
Brownsville-Harlingen	26.2580093,-97.8327503
Brunswick	31.1499528,-81.4914894
Buffalo-Cheektowaga-Niagara-Falls	42.8953167,-78.7342618
Burlington	36.0956918,-79.4377991
Burlington-South-Burlington	44.487754,-73.19747
California-Lexington-Park	38.3004029,-76.5074542
Canton-Massillon	40.9146904,-81.1057945
Cape-Coral-Fort-Myers	26.5596896,-81.9248622
Cape-Girardeau	37.3058839,-89.5181476
Carbondale-Marion	37.7275106,-89.2137511
Carson-City	39.1637984,-119.7674034
Casper	42.8514751,-106.2707779
Cedar-Rapids	41.8602912,-91.4927992
Chambersburg-Waynesboro	39.7525867,-77.5806467
Champaign-Urbana	40.1105875,-88.2072697
Charleston	38.4819031,-81.3042658
Charleston-North-Charleston	32.7789836,-79.8065341
Charlotte-Concord-Gastonia	35.2606857,-81.1819383
Charlottesville	38.0293059,-78.4766781
Chattanooga	35.0456297,-85.3096801
Cheyenne	41.1478296,-104.8227381
Chicago-Naperville-Elgin	41.7715102,-88.1480598
Chico	39.7310766,-121.8411665
Cincinnati	39.1011379,-84.5129663
Clarksville	36.5297706,-87.3594528
Cleveland	35.1740145,-84.9017818
Cleveland-Elyria	41.4204044,-81.7032744
Coeur-d-Alene	47.692141,-116.783345
College-Station-Bryan	30.8818021,-96.5955056
Colorado-Springs	38.795577,-104.8472309
Columbia	38.9515971,-92.3307668
Columbia	33.861612,-81.057462
Columbus	32.466963,-85.090375
Columbus	32.4531634,-84.9875864
Columbus	39.9928355,-83.0069593
Corpus-Christi	27.7804428,-97.3995916
Corvallis	44.5645659,-123.2620435
Crestview-Fort-Walton-Beach-Destin	30.4363446,-86.5782817
Cumberland	39.6528654,-78.7625185
Dallas-Fort-Worth-Arlington	32.8651226,-96.778834
Dalton	34.9512053,-84.7370329
Danville	40.124481,-87.6300207
Daphne-Fairhope-Foley	30.4066177,-87.7253002
Davenport-Moline-Rock-Island	41.5207853,-90.5888389
Dayton	39.7595342,-84.1919267
Decatur	34.6059253,-86.9833417
Decatur	39.8205343,-88.9557696
Deltona-Daytona-Beach-Ormond-Beach	29.2314463,-81.0269736
Denver-Aurora-Lakewood	39.7240643,-105.0909137
Des-Moines-West-Des-Moines	41.5695663,-93.7102956
Detroit-Warren-Dearborn	42.3409031,-83.2982737
Dothan	31.2232313,-85.3904888
Dover	39.1766765,-75.5027267
Dubuque	42.4997999,-90.6641371
